0.000,[0.6666406393051147, 0.3405369222164154, 0.32610341906547546, 0.6666406393051147, 0.0, 0.0, 0.0, 0.0, 0.0]
0.001,[0.6666406393051147, 0.3405369222164154, 0.32610341906547546, 0.6666406393051147, 0.0, 0.0, 0.0, 0.0, 0.0]
0.002,[0.6666406393051147, 0.3405369222164154, 0.32610341906547546, 0.6666406393051147, 0.0, 0.0, 0.0, 0.0, 0.0]
0.003,[0.6665247678756714, 0.2887759506702423, 0.3711085915565491, 0.6665247678756714, 0.0, 0.0, 0.0, 0.0, 0.0]
0.004,[0.6656436920166016, 0.21510474383831024, 0.41542884707450867, 0.6656661629676819, 0.0, 0.0, 0.0, 0.0, 1.9519684314727783]
0.005,[0.6639555096626282, 0.1229708269238472, 0.45245224237442017, 0.664048969745636, 0.0, 0.0, 0.0, 0.0, 3.82502818107605]
0.006,[0.6650220155715942, 0.18358813226222992, 0.4299052953720093, 0.6652583479881287, 0.0, 0.0, 0.0, 0.0, 5.620960235595703]
0.007,[0.6659758687019348, 0.25360989570617676, 0.3945659101009369, 0.6664050221443176, 0.0, 0.0, 0.0, 0.0, 7.333776950836182]
0.008,[0.6663230061531067, 0.3119860887527466, 0.3528340756893158, 0.6669711470603943, 0.0, 0.0, 0.0, 0.0, 8.947978019714355]
0.009,[0.6660766005516052, 0.35941603779792786, 0.3051717281341553, 0.6669474244117737, 0.0, 0.0, 0.0, 0.0, 10.432456016540527]
0.010,[0.6653030514717102, 0.39841482043266296, 0.2507014274597168, 0.666379988193512, 0.0, 0.0, 0.0, 0.0, 11.901159286499023]
0.011,[0.6640670299530029, 0.4309154152870178, 0.18814335763454437, 0.6653127670288086, 0.0, 0.0, 0.0, 0.0, 13.348891258239746]
0.012,[0.664797306060791, 0.4108199179172516, 0.22901564836502075, 0.6661475300788879, 0.0, 0.0, 0.0, 0.0, 14.75391960144043]
0.013,[0.6655246019363403, 0.3800133466720581, 0.27850407361984253, 0.6669354438781738, 0.0, 0.0, 0.0, 0.0, 16.097320556640625]
0.014,[0.6658912301063538, 0.34456905722618103, 0.3218243420124054, 0.6673417091369629, 0.0, 0.0, 0.0, 0.0, 17.376482009887695]
0.015,[0.66588294506073, 0.30524152517318726, 0.35852837562561035, 0.667370617389679, 0.0, 0.0, 0.0, 0.0, 18.574005126953125]
0.016,[0.6655260920524597, 0.2617242634296417, 0.38979730010032654, 0.6670657992362976, 0.0, 0.0, 0.0, 0.0, 19.750707626342773]
